task_id,difficulty,category,network_mode,skill_count,skill_names,oracle_has_curl,oracle_has_wget,oracle_has_http,oracle_has_requests,oracle_has_git_clone,oracle_remote_hosts,verifier_has_curl,verifier_has_wget,verifier_has_http,verifier_has_pip_install,verifier_has_uv,verifier_has_apt,verifier_remote_hosts,bootstrap_packages,bootstrap_versions_pinned,semantic_external_dependency,bootstrap_dependency,self_contained,candidate_score,rejection_reason
adaptive-cruise-control,medium,industrial-physical-systems,public,5,csv-processing;pid-controller;simulation-metrics;vehicle-dynamics;yaml-config,false,false,false,false,false,,true,false,false,true,true,false,,,true,false,true,false,93,bootstrap dependency (packages pinned)
drone-planning-control,medium,industrial-physical-systems,public,6,attitude-controller-planner;flight-plan-parser;motor-model-dynamics;plot-quadrotor;position-controller-trajectory-planner;stepinfo-3d,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,93,bootstrap dependency (packages pinned)
exoplanet-detection-period,medium,natural-science,public,5,box-least-squares;exoplanet-workflows;light-curve-preprocessing;lomb-scargle-periodogram;transit-least-squares,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,93,bootstrap dependency (packages pinned)
hvac-control,medium,industrial-physical-systems,public,5,excitation-signal-design;first-order-model-fitting;imc-tuning-rules;safety-interlocks;scipy-curve-fit,false,false,false,false,false,,false,false,false,true,false,false,,,true,false,true,false,93,bootstrap dependency (packages pinned)
organize-messy-files,medium,office-white-collar,public,5,docx;file-organizer;pdf;planning-with-files;pptx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,93,bootstrap dependency (packages pinned)
python-scala-translation,medium,software-engineering,public,6,python-scala-collections;python-scala-functional;python-scala-idioms;python-scala-libraries;python-scala-oop;python-scala-syntax-mapping,false,false,false,false,false,,true,false,true,false,true,true,astral.sh;github.com,,true,false,true,false,93,bootstrap dependency (packages pinned)
bike-rebalance,medium,mathematics-or-formal-reasoning,no-network,4,geospatial-routing-data;logistics-rules-to-optimization;routing-subtour-elimination;scip-opt,false,false,false,false,false,,false,false,false,false,false,false,,,true,false,true,false,87,bootstrap dependency (packages pinned)
gravitational-wave-detection,medium,natural-science,public,2,conditioning;matched-filtering,false,false,false,false,false,,false,false,false,false,false,false,,,true,false,false,true,87,
lake-warming-attribution,medium,natural-science,public,4,contribution-analysis;meteorology-driver-classification;pca-decomposition;trend-analysis,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.6;numpy==1.26.4;scipy==1.14.1;scikit-learn==1.5.2;factor_analyzer==0.5.1;pymannkendall==1.4.3,true,false,true,false,87,bootstrap dependency (packages pinned)
r2r-mpc-control,medium,industrial-physical-systems,public,4,finite-horizon-lqr;integral-action-design;mpc-horizon-tuning;state-space-linearization,false,false,false,false,false,,false,false,false,true,false,false,,,true,false,true,false,87,bootstrap dependency (packages pinned)
lean4-proof,medium,mathematics-or-formal-reasoning,public,6,INSTALLATION.md;LICENSE;README.md;TESTING.md;lean4-memories;lean4-theorem-proving,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,83,bootstrap dependency (one or more packages unpinned)
multilingual-video-dubbing,medium,media-content-production,public,6,ffmpeg-audio-processing;ffmpeg-format-conversion;ffmpeg-media-info;ffmpeg-video-editing;ffmpeg-video-filters;text-to-speech,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.6;pysrt==1.1.2;numpy==1.26.4;soundfile==0.13.1;setuptools;wheel;cython==3.0.10;pyopenjtalk==0.3.4,false,false,true,false,83,bootstrap dependency (one or more packages unpinned)
energy-ac-optimal-power-flow,medium,industrial-physical-systems,public,3,ac-branch-pi-model;casadi-ipopt-nlp;power-flow-data,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,casadi==3.6.7,true,false,true,false,81,bootstrap dependency (packages pinned)
manufacturing-equipment-maintenance,medium,industrial-physical-systems,public,3,reference.md;reflow-machine-maintenance-guidance;reflow-profile-compliance-toolkit,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,81,bootstrap dependency (packages pinned)
radar-vital-signs,medium,natural-science,public,3,radar-signal-processing;radar-vital-signs;vital-sign-extraction,false,false,false,false,false,,false,false,false,true,false,false,,pytest==8.3.2;pytest-json-ctrf==0.3.5,true,false,true,false,81,bootstrap dependency (packages pinned)
ada-bathroom-plan-repair,hard,industrial-physical-systems,public,3,ada-plan-view-accessibility;architectural-dxf-extraction;geometric-layout-repair,false,false,false,false,false,,false,false,false,false,false,false,,,true,false,false,true,78,
debug-trl-grpo,hard,software-engineering,public,3,grpo;rl-post-training;trl,false,false,false,false,false,,false,false,false,false,false,false,,/app/trl,false,false,false,true,78,
mars-clouds-clustering,hard,natural-science,public,3,custom-distance-metrics;parallel-processing;pareto-optimization,false,false,false,false,false,,false,false,false,false,false,false,,,true,false,false,true,78,
dynamic-object-aware-egomotion,medium,industrial-physical-systems,public,4,dyn-object-masks;egomotion-estimation;output-validation;sampling-and-indexing,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,pip;setuptools;wheel,false,false,true,false,77,bootstrap dependency (one or more packages unpinned)
earthquake-phase-association,hard,natural-science,public,5,gamma-phase-associator;licenses;obspy-data-api;seisbench-model-api;seismic-picker-selection,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,73,bootstrap dependency (packages pinned)
jpg-ocr-stat,hard,office-white-collar,public,5,image-ocr;openai-vision;pdf;video-frame-extraction;xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,73,bootstrap dependency (packages pinned)
seismic-phase-picking,hard,natural-science,public,5,licenses;obspy-data-api;obspy-datacenter-client;seisbench-model-api;seismic-picker-selection,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,73,bootstrap dependency (packages pinned)
video-silence-remover,hard,media-content-production,public,7,audio-extractor;energy-calculator;pause-detector;report-generator;segment-combiner;silence-detector;video-processor,false,false,false,false,false,,false,false,false,true,false,false,,pytest==9.0.2;pytest-json-ctrf==0.3.6,true,false,true,false,73,bootstrap dependency (packages pinned)
grid-dispatch-operator,medium,industrial-physical-systems,public,3,dc-power-flow;economic-dispatch;power-flow-data,false,false,false,false,false,,false,false,false,true,false,false,,scipy==1.11.4;cvxpy==1.4.2;pytest-json-ctrf;numpy==1.26.4,false,false,true,false,71,bootstrap dependency (one or more packages unpinned)
